name,address,lat,lng,limited_time,open_hours,rest_days,midnight,pudding,basque,tiramisu,dessert,salty_food,café,alcohol,study,chat,photo,pet,wifi,
190 Café House 珈琲烘焙屋,桃園市桃園區慈光街51號,25.0051225,121.2979754,0,週三公休，週一至週日10:30 - 19:30,,,,,,,,,,,,,,,
Cafe Traveller 旅活楽咖啡,桃園市龍潭區中正路103號,24.8680359,121.215836,,,,,,,,,,,,,,,,,
新南12文創實驗商行,桃園市大溪區中山路12號,24.8817336,121.2870553,,,,,,,,,,,,,,,,,
Louisa Coffee 路易．莎咖啡(桃園桃大極門市),桃園市八德區金和路60號,24.9551583,121.29689,0,,,,,,,,,,,,,,,,
丹馬克咖啡,桃園縣中壢市慈惠三街157巷10號,24.9640928,121.2248487,,,,,,,,,,,,,,,,,
晴耕雨讀小書院,桃園市平鎮區福龍路一段560巷12號,24.8963368,121.2258613,,,,,,,,,,,,,,,,,
MINE CAFE,中壢區福州路63號,24.952509,121.233213,0,,,,,,,,,,,,,,,,
閱讀柒年,桃園市桃園區中正路115巷6號,24.9930098,121.3114336,,11:00-21:00(週二休息),,,,,,,,,,,,,,,
咖灰/咖啡餐酒館,334桃園市八德區大福街199號,24.9699307,121.2996216,,,,,,,,,,,,,,,,,
杯子。手沖咖啡,桃園市龍潭區文化路(石門國小旁),24.8417091,121.240834,,,,,,,,,,,,,,,,,
Nuageクラウド雲朵鬆餅,桃園市桃園區民生路55巷8號,24.9915661,121.3141502,,,,,,,,,,,,,,,,,
路易.莎咖啡(桃園縣府店),桃園市桃園區中山路426號,24.992274,121.302872,0,,,,,,,,,,,,,,,,
 翻轉甜點 flipbakery,桃園市桃園區正光路71巷6號,24.9915086,121.2950951,,,,,,,,,,,,,,,,,
Boss Coffee 桃園旗艦店,桃園市桃園區新埔八街53號,25.0195784,121.2988864,,,,,,,,,,,,,,,,,
恰歐 Coffee Ciao,"桃園市中壢區文化路130巷27號""",24.9749851,121.2551395,,週一公休 平日11:00-19:00假日11:00-20:00,,,,,,,,,,,,,,,
 Collage咖楽聚-桃園總店,桃園市桃園區國豐三街159號,24.9912025,121.2784953,,,,,,,,,,,,,,,,,
粗蒔 the chos,桃園市桃園區園二街48號,24.9973817,121.3147024,,,,,,,,,,,,,,,,,
Numbear 13 Cafe,桃園市中壢區大仁五街32號1樓,24.9566327,121.2401476,,,,,,,,,,,,,,,,,
鹿點咖啡 Luna桃園店,桃園市桃園區成功路三段175號,25.004372,121.324473,0,,,,,,,,,,,,,,,,
hiii birdie 知鳥咖啡,桃園市龜山區興華五街75號,25.0522897,121.3658569,0,9:30~20:30,,,,,,,,,,,,,,,
9bar,桃園市龜山區自強南路741號,24.9919307,121.3329936,,,,,,,,,,,,,,,,,
Ten past ten 咖啡豆專賣店,桃園市蘆竹區洛陽街三號,25.045488,121.292636,0,,,,,,,,,,,,,,,,
WonderCoffee汪森市,桃園市桃園區延壽街162號,24.994237,121.289748,,,,,,,,,,,,,,,,,
再再之在 Cafe Here Again 咖啡豆專賣店,桃園市中壢區新生路二段36號,24.9770869,121.2229662,,,,,,,,,,,,,,,,,
6號咖啡館,桃園市桃園區同德六街154號,25.0157472,121.2974561,,,,,,,,,,,,,,,,,
豆語精品咖啡烘焙坊,桃園市桃園區信二街4號,24.995567,121.300705,,,,,,,,,,,,,,,,,
